Entity,1990_death_rate,1991_death_rate,1992_death_rate,1993_death_rate,1994_death_rate,1995_death_rate,1996_death_rate,1997_death_rate,1998_death_rate,1999_death_rate,2000_death_rate,2001_death_rate,2002_death_rate,2003_death_rate,2004_death_rate,2005_death_rate,2006_death_rate,2007_death_rate,2008_death_rate,2009_death_rate,2010_death_rate,2011_death_rate,2012_death_rate,2013_death_rate,2014_death_rate,2015_death_rate,2016_death_rate,2017_death_rate,ISO_A3
Southern Latin America,1.5899842793333545,1.7826241040859931,2.3663009727925366,2.6616193624969147,3.441356326339795,4.075139973250344,4.669691915397426,4.940701918290122,4.61880973842869,4.4400231153423935,4.358319720204714,4.449869266441718,4.329003392074827,4.335448569052754,3.954040092725116,3.6875644899311615,3.734958777049307,3.7102756602532896,3.64047942025189,3.67055964027542,3.4802672991990047,3.446590938500944,3.5328140276925173,3.5598148286887814,3.521634527279113,3.5551189956912896,3.467462595824597,3.385151724200302,
Southern Sub-Saharan Africa,58.40108293055765,80.11683567095396,105.64848261326466,135.3177279461902,169.4526634015656,208.5249365929949,252.81065230334028,302.62701937719794,358.2527735635655,418.97847425541744,483.16074882888427,547.8528820378257,609.0947870361298,664.1490778769507,708.8025165448503,738.8851764446084,751.5418886652757,744.5383995802666,719.822753249503,680.0353634083637,614.2651322164047,536.7281336712035,467.7347075183153,405.7319745663383,348.6388508499822,310.54701976621385,273.2979962552868,221.65073670465264,
Spain,5.208468769691268,6.768549009694427,8.729344019206176,10.463503968827746,12.049813310859474,13.64926096262938,12.988725609457797,7.230601502542332,4.538130542770981,4.297390834310067,3.8265704726445073,3.552103623414368,3.409123462952822,3.269084669939287,3.0412566747094947,2.7286494791414984,2.4400314077167837,2.33981563957206,2.123074641572266,1.8326801348313009,1.723888121823805,1.55451174378715,1.3880915885001903,1.199195291833398,1.0864275676405273,1.0282239348307811,1.134527173025026,1.1231768935259112,ESP
Sri Lanka,0.1875919432066081,0.2200271685945634,0.2533102179960815,0.2865487864501411,0.3209976131711455,0.3547374719861619,0.3874798003842294,0.4171026637054429,0.4392249567904474,0.4547583069624898,0.4639055983165015,0.467952249025555,0.4689905556590075,0.4660353960577386,0.4575342238091253,0.4361765627932736,0.4117090798205321,0.3919421142470327,0.3712113815089891,0.3543862900774969,0.3419431339490245,0.359965268065629,0.3712842904278091,0.3602977808329576,0.3371045774715774,0.3176858353506935,0.2876033910043212,0.2609914247479406,LKA
Sub-Saharan Africa,68.42228575929154,85.27623409523805,103.40958171620278,122.61628415149234,142.0825462355862,161.33155450936638,180.5331396908473,198.9273401519401,216.37106979835144,232.49373143777152,247.69533916993615,259.4051848942733,268.9403724910409,275.9247645399084,278.9520084078895,277.08415385614944,270.45019733784306,258.5296967849007,241.58424516081735,224.16738488839192,203.28778855232005,181.8738969230152,161.2916804436182,141.6797807526947,123.9522752219114,110.60702547347518,98.2612574787997,85.62586445090288,
Sudan,1.1182846475960773,1.699068135748584,2.476989476249361,3.4121358114513205,4.488506469633773,5.656057734687614,6.822759962108106,7.972054743599304,9.06894977882158,10.07034118608696,10.992338970990508,11.80442246225294,12.544948307938132,13.198833143694102,13.84098331566778,14.493111735903264,15.143356521242232,15.777765553461872,16.260518632278824,16.54762853497373,16.888668180821455,17.310476823951014,17.71248164167811,17.996722951528074,18.14097372594517,18.211925328777795,17.957030863889564,16.240579339464404,SDN
Suriname,17.86525884374915,12.798185513000272,12.819115604002782,14.161512330351217,15.93877556651605,18.906368525047647,21.57413614796372,20.13656374904918,21.12472402205115,26.05673600431538,32.323471926521684,32.06665521985413,35.58620542609497,32.632218892363085,32.839063546944175,30.40735956134592,27.76650686785349,24.891851034550115,21.762247843012616,20.626677330112035,21.3306888975535,19.309817014639343,18.69823295897576,16.833373643571036,19.515156835647584,17.790816834925547,17.285596223855965,16.874018503132383,SUR
Sweden,0.7358297596935258,0.8797246017227195,0.9329386913704382,1.0061792060095072,1.2605695014891063,1.4541073737419865,1.2109564981626966,0.5522535623001913,0.3794878232119913,0.3496010587584151,0.333271014093018,0.4296338996812169,0.3439767826814844,0.3252823569101328,0.2766062017098233,0.3107598490379173,0.2452129528492882,0.3376387596821238,0.2228733312935437,0.3006732645454628,0.2300035670073603,0.2910234024681734,0.2238634752112928,0.1918686992027937,0.1583608597507568,0.2213356027698028,0.2232977019957254,0.1977147285125751,SWE
Switzerland,2.178909299645459,2.4505270833005808,2.7806885368772774,3.216629186751726,3.852788291361796,7.294251509543495,5.269774794963428,3.3204146218105204,2.374561740607618,1.868875744933581,1.6967694686581976,1.49470675765669,1.2382974699049556,1.1153937637053173,0.9343788511138772,0.7452112866108068,0.7990830299894617,0.6663115611581781,0.5356954918576513,0.4999877912465769,0.4794756228133617,0.410657322054432,0.4702600585947062,0.3623598823702199,0.3616903413417957,0.2935478597651139,0.3507916531869126,0.3517286845887444,CHE
Syria,0.0543137813142886,0.0591380719210017,0.0644643379085592,0.0693260196519197,0.0745683918162029,0.0797634933082852,0.0854738292131542,0.0913212828405308,0.0969270542850338,0.1025423538062541,0.107791083479432,0.1126039649719785,0.1176282805101103,0.1196326901699938,0.1144763966898863,0.1106677183522236,0.1087105430986892,0.1022324018873817,0.1000168824077956,0.0971789367281493,0.0924145995482695,0.0925091336549045,0.0943850447708656,0.0970128093606467,0.0945455741804334,0.0927231605041149,0.0819504295292843,0.0678391627728325,SYR
